PIPE_ID,MATERIAL,INSTALLED_YEAR,YEAR_MISSING,age,DIAM,LENGTH,ZONE,SOIL_TYPE,BREAKS_prev,TSLF_prev,risk_score,broke_same_year,broke_2019_2025,confirmed
187733,CI,1951,0,68,150,343.4158,GLENMORE,Fluvial,10.0,2.0,0.8682,0,1,0
201835,CI,1945,0,74,150,406.906,GLENMORE,Glacial_Till,6.0,1.0,0.8635,1,1,1
186992,CI,1960,0,59,150,336.3186,GLENMORE,Fluvial,8.0,2.0,0.8537,0,1,0
179449,CI,1960,0,59,150,380.9593,GREENVIEW,Bedrock,4.0,0.0,0.8527,0,0,0
124990,CI,1959,0,60,150,518.9642,GLENMORE,Fluvial,7.0,1.0,0.8516,0,1,0
61934,CI,1964,0,55,150,366.9702,NORTH HILL,Glacial_Till,6.0,1.0,0.8514,0,0,0
7173,CI,1958,0,61,150,429.741,NORTH HILL,Lacustrine,9.0,0.0,0.8506,0,1,0
143692,CI,1960,0,59,250,146.5507,GLENMORE,Glacial_Till,6.0,0.0,0.8504,0,1,0
41731,CI,1959,0,60,250,352.5119,GLENMORE,Fluvial,6.0,1.0,0.848,0,1,0
162531,CI,1959,0,60,150,420.4895,NORTH HILL,Fluvial,9.0,4.0,0.8474,0,0,0
202616,CI,1956,0,63,200,474.8475,GLENMORE,Glacial_Till,6.0,1.0,0.8455,0,0,0
197690,CI,1960,0,59,200,284.6421,GLENMORE,Fluvial,6.0,1.0,0.8443,0,0,0
206613,PE,2001,0,18,200,222.0594,NORTH HILL,Glacial_Till,3.0,2.0,0.8442,0,1,0
44044,CI,1960,0,59,150,398.1284,GLENMORE,Fluvial,4.0,0.0,0.8439,0,1,0
65808,CI,1960,0,59,150,567.386,GLENMORE,Fluvial,8.0,4.0,0.8437,1,1,1
118109,CI,1959,0,60,200,328.9682,GLENMORE,Fluvial,7.0,3.0,0.8431,0,0,0
7948,CI,1953,0,66,200,257.3212,GLENMORE,Fluvial,8.0,2.0,0.8423,0,1,0
148399,CI,1957,0,62,150,162.158,GLENMORE,Fluvial,8.0,1.0,0.842,0,0,0
168860,CI,1961,0,58,200,544.7077,GLENMORE,Fluvial,5.0,0.0,0.8411,0,0,0
80630,CI,1958,0,61,150,410.3916,NORTH HILL,Lacustrine,11.0,4.0,0.8411,0,0,0
129881,CI,1956,0,63,150,365.0989,GLENDALE,Glacial_Till,10.0,1.0,0.8393,0,1,0
80600,CI,1959,0,60,150,525.3883,NORTH HILL,Fluvial,9.0,7.0,0.8389,0,0,0
132785,CI,1959,0,60,200,212.1964,GLENMORE,Fluvial,8.0,4.0,0.8385,0,0,0
121039,CI,1958,0,61,250,559.9183,GLENMORE,Glacial_Till,5.0,2.0,0.8382,0,0,0
193472,CI,1958,0,61,150,128.328,GLENMORE,Glacial_Till,6.0,2.0,0.838,0,0,0
87045,CI,1953,0,66,200,450.3429,GLENMORE,Fluvial,3.0,4.0,0.8375,0,0,0
96775,PDI,1975,0,44,300,449.8424,FOOTHILLS,Glacial_Till,8.0,0.0,0.8361,0,0,0
206665,CI,1955,0,64,250,222.0594,NORTH HILL,Glacial_Till,11.0,2.0,0.836,0,1,0
87437,CI,1957,0,62,200,152.8061,GLENMORE,Glacial_Till,5.0,4.0,0.836,0,1,0
46652,CI,1958,0,61,200,228.5911,GLENMORE,Glacial_Till,10.0,1.0,0.8341,0,0,0
139197,CI,1960,0,59,150,390.2709,GLENMORE,Colluvial,4.0,6.0,0.8321,0,0,0
37757,CI,1956,0,63,150,417.0084,NORTH HILL,Lacustrine,4.0,0.0,0.832,0,0,0
9252,CI,1960,0,59,150,169.0435,GLENMORE,Fluvial,6.0,1.0,0.8312,0,0,0
153542,CI,1955,0,64,150,628.3232,CAMBRIAN HEIGHTS,Glacial_Till,6.0,0.0,0.8311,0,1,0
21293,CI,1948,0,71,150,278.1122,GLENMORE,Fluvial,6.0,1.0,0.8302,0,0,0
13048,CI,1954,0,65,250,220.1203,GLENMORE,Glacial_Till,11.0,2.0,0.83,1,1,1
184374,CI,1965,0,54,150,360.2431,NORTH HILL,Glacial_Till,5.0,7.0,0.8298,0,0,0
69055,CI,1953,0,66,150,464.3667,GLENMORE,Glacial_Till,5.0,3.0,0.8293,0,1,0
196454,CI,1960,0,59,200,229.1459,NORTH HILL,Glacial_Till,3.0,2.0,0.8292,0,0,0
57370,PDI,1972,0,47,150,232.5435,GLENMORE,Glacial_Till,15.0,1.0,0.8287,0,0,0
206034,CI,1954,0,65,250,226.9519,NORTH HILL,Fluvial,9.0,0.0,0.828,0,0,0
36571,CI,1957,0,62,150,411.5728,NORTH HILL,Glacial_Till,10.0,4.0,0.8269,0,1,0
84387,CI,1964,0,55,150,370.1978,NORTH HILL,Glacial_Till,5.0,5.0,0.8269,0,0,0
136346,CI,1960,0,59,150,455.8862,GLENMORE,Fluvial,3.0,2.0,0.8268,0,0,0
47606,CI,1956,0,63,150,390.7761,WEST CALGARY,Glacial_Till,6.0,5.0,0.8267,0,0,0
173689,CI,1948,0,71,150,148.9255,GLENMORE,Fluvial,7.0,4.0,0.8263,0,0,0
11004,CI,1960,0,59,200,154.2801,NORTH HILL,Glacial_Till,6.0,4.0,0.8262,0,0,0
69803,PDI,1971,0,48,150,336.5448,GLENMORE,Glacial_Till,9.0,0.0,0.8252,0,0,0
147191,CI,1965,0,54,150,421.5477,GLENMORE,Fluvial,4.0,12.0,0.8247,1,1,1
187847,CI,1952,0,67,150,336.9527,GLENMORE,Fluvial,5.0,0.0,0.8246,0,0,0
82850,CI,1952,0,67,150,455.6175,GLENMORE,Glacial_Till,7.0,9.0,0.8244,0,0,0
32147,CI,1963,0,56,300,150.1829,GLENMORE,Glacial_Till,6.0,5.0,0.8244,0,0,0
147173,CI,1965,0,54,150,421.5477,GLENMORE,Fluvial,3.0,6.0,0.8241,0,0,0
85185,CI,1953,0,66,150,192.338,OGDEN,Fluvial,5.0,0.0,0.8229,0,0,0
98996,CI,1956,0,63,150,363.7248,GLENDALE,Glacial_Till,10.0,7.0,0.8221,0,1,0
69054,CI,1953,0,66,150,464.3667,GLENMORE,Glacial_Till,4.0,4.0,0.8217,0,0,0
135323,CI,1948,0,71,150,182.0657,GLENMORE,Fluvial,6.0,1.0,0.8217,0,0,0
21468,CI,1960,0,59,150,186.516,GLENMORE,Colluvial,4.0,1.0,0.8217,0,0,0
86328,CI,1953,0,66,150,224.5292,GLENMORE,Fluvial,7.0,2.0,0.8206,1,1,1
163969,CI,1954,0,65,250,394.032,GLENMORE,Fluvial,6.0,8.0,0.8205,0,0,0
37140,CI,1958,0,61,150,256.513,GLENMORE,Glacial_Till,4.0,0.0,0.8205,0,0,0
32473,CI,1950,0,69,150,416.4588,GLENMORE,Fluvial,4.0,10.0,0.8194,0,0,0
191594,CI,1963,0,56,200,586.9661,FOOTHILLS,Bedrock,5.0,7.0,0.8184,0,0,0
91699,PDI,1971,0,48,200,189.7922,GLENMORE,Glacial_Till,8.0,0.0,0.8183,0,1,0
117175,CI,1954,0,65,250,344.5556,GLENMORE,Fluvial,6.0,9.0,0.8181,0,0,0
205589,CI,1950,0,69,150,331.6049,BANKVIEW,Glacial_Till,10.0,7.0,0.8181,0,0,0
157327,CI,1952,0,67,200,279.9159,GLENMORE,Fluvial,6.0,11.0,0.8179,0,0,0
40348,CI,1959,0,60,250,193.4669,GLENMORE,Fluvial,6.0,4.0,0.8178,0,1,0
71522,CI,1967,0,52,150,335.8317,GLENMORE,Fluvial,6.0,5.0,0.8178,0,1,0
196143,CI,1958,0,61,150,373.7388,NORTH HILL,Lacustrine,7.0,10.0,0.8175,0,0,0
58890,CI,1953,0,66,150,191.6203,NORTH HILL,Lacustrine,7.0,0.0,0.8167,0,0,0
50874,CI,1953,0,66,150,131.1607,OGDEN,Fluvial,8.0,2.0,0.8163,0,0,0
141209,CI,1958,0,61,150,187.4101,WEST CALGARY,Glacial_Till,6.0,0.0,0.8161,0,0,0
26252,PDI,1974,0,45,300,644.2899,FOOTHILLS,Glacial_Till,3.0,3.0,0.816,0,0,0
126056,CI,1953,0,66,150,167.5343,GLENMORE,Fluvial,7.0,2.0,0.8158,0,0,0
67656,CI,1955,0,64,150,279.6785,CAMBRIAN HEIGHTS,Glacial_Till,6.0,2.0,0.8158,0,0,0
142484,CI,1954,0,65,150,325.9942,WEST CALGARY,Glacial_Till,6.0,6.0,0.815,0,0,0
187731,CI,1955,0,64,150,158.3496,GLENMORE,Fluvial,8.0,10.0,0.8149,0,1,0
185283,PDI,1974,0,45,200,635.638,NORTH HILL,Glacial_Till,4.0,2.0,0.8147,0,1,0
173925,CI,1958,0,61,150,293.4376,GLENMORE,Glacial_Till,4.0,1.0,0.8144,0,1,0
1505,CI,1964,0,55,200,332.5443,NORTH HILL,Glacial_Till,2.0,0.0,0.8143,0,0,0
184771,CI,1963,0,56,150,270.444,NORTH HILL,Glacial_Till,3.0,4.0,0.814,0,0,0
182257,CI,1953,0,66,150,335.5803,WEST CALGARY,Glacial_Till,5.0,4.0,0.8139,0,0,0
192786,CI,1953,0,66,200,672.6896,GLENMORE,Glacial_Till,4.0,7.0,0.8137,0,0,0
71762,CI,1941,0,78,200,76.8459,NORTH HILL,Fluvial,0.0,77.0,0.8129,0,0,0
71763,CI,1941,0,78,200,76.8459,NORTH HILL,Fluvial,0.0,77.0,0.8129,0,0,0
121035,CI,1962,0,57,150,612.882,GLENMORE,Glacial_Till,3.0,5.0,0.8128,0,0,0
37750,CI,1956,0,63,150,240.3461,CAMBRIAN HEIGHTS,Glacial_Till,8.0,2.0,0.8113,0,0,0
169529,CI,1956,0,63,150,365.25,OGDEN,Fluvial,3.0,5.0,0.8106,0,0,0
165457,CI,1954,0,65,150,156.0778,GLENMORE,Lacustrine,6.0,1.0,0.8105,0,0,0
149703,CI,1965,0,54,150,276.3993,LOWER SARCEE,Glacial_Till,6.0,5.0,0.8105,0,0,0
162092,CI,1955,0,64,150,350.0587,GLENMORE,Glacial_Till,3.0,1.0,0.8103,0,0,0
85996,CI,1960,0,59,150,744.4549,GLENMORE,Fluvial,5.0,9.0,0.8098,0,0,0
46648,CI,1958,0,61,300,174.4259,GLENMORE,Glacial_Till,6.0,1.0,0.8097,0,0,0
43158,CI,1955,0,64,150,309.7539,NORTH HILL,Glacial_Till,5.0,1.0,0.8097,0,0,0
64929,CI,1958,0,61,150,179.8248,GLENMORE,Glacial_Till,4.0,0.0,0.8097,0,1,0
122672,CI,1953,0,66,150,178.8323,WEST CALGARY,Glacial_Till,6.0,3.0,0.8096,0,0,0
147317,PDI,1973,0,46,200,588.9428,GREENVIEW,Fluvial,5.0,3.0,0.8092,0,0,0
71258,CI,1952,0,67,150,248.6344,NORTH HILL,Lacustrine,7.0,4.0,0.8088,0,0,0
153716,CI,1953,0,66,150,309.0005,WEST CALGARY,Glacial_Till,3.0,2.0,0.8088,0,0,0
